station_id,rainfall_mm,lat,long,country,county,country_avg,county_avg,country_code
000075TP,0.0,51.084022,-0.214597,England,West Sussex,0.07,0.04,1
598691,0.0,54.569482,-2.432265,England,Westmorland and Furness,0.07,0.16,1
85322,0.0,53.571934,-1.588459,England,Barnsley,0.07,0,1
52201,0.0,51.270102,-2.682969,England,Somerset,0.07,0.05,1
253861TP,0.0,51.794582,-1.562775,England,Oxfordshire,0.07,0.07,1
E45811,0.0,53.497914,-0.196218,England,North East Lincolnshire,0.07,0,1
E37291,0.0,52.013331,0.746104,England,Suffolk,0.07,0,1
E6280,0.0,50.931554,0.580819,England,East Sussex,0.07,0,1
E24751,0.0,52.46533,0.054229,England,Cambridgeshire,0.07,0,1
578009,0.0,53.927308,-2.719516,England,Lancashire,0.07,0.08,1
E44101,0.0,51.793436,0.648601,England,Essex,0.07,0,1
50187,0.0,50.909721,-4.380331,England,Devon,0.07,0.14,1
E46161,0.0,51.511603,0.583211,England,Essex,0.07,0,1
36704,0.0,54.434842,-0.550006,England,North Yorkshire,0.07,0.06,1
45168,0.0,50.973456,-3.383642,England,Devon,0.07,0.14,1
265415TP,0.0,51.465368,-1.197403,England,West Berkshire,0.07,0.06,1
44100,0.0,50.778033,-2.848812,England,Dorset,0.07,0.17,1
E42971,0.0,52.181011,0.952464,England,Suffolk,0.07,0,1
46160,0.0,50.473478,-3.89184,England,Devon,0.07,0.14,1
567866,0.0,53.460365,-2.916431,England,Liverpool,0.07,0.5,1
531108,0.0,51.237472,-2.325815,England,Somerset,0.07,0.05,1
18777,0.0,54.860973,-1.670477,England,County Durham,0.07,0.05,1
77256,0.0,53.798228,-2.056887,England,Calderdale,0.07,0.13,1
E21288,0.0,52.447056,1.60611,England,Suffolk,0.07,0,1
577417,0.0,53.908061,-3.019063,England,Lancashire,0.07,0.08,1
276956TP,0.0,51.828295,-0.446536,England,Hertfordshire,0.07,0,1
35488,0.0,54.438313,-0.976984,England,North Yorkshire,0.07,0.06,1
45236,0.0,50.776987,-3.176428,England,Devon,0.07,0.14,1
E7065,0.0,52.56456,-0.5077,England,North Northamptonshire,0.07,0,1
E4540,0.0,51.202987,0.784947,England,Kent,0.07,0.01,1
46108,0.0,50.641897,-3.877381,England,Devon,0.07,0.14,1
E22876,,51.736858,0.480165,England,Essex,0.07,0,1
44103,0.0,50.707087,-2.698828,England,Dorset,0.07,0.17,1
256230TP,0.0,51.749085,-1.272057,England,Oxfordshire,0.07,0.07,1
